ciao, ciao
LANZILLOTTA Linda,PD
LATORRE Nicola,PD
LEPRI Stefano,PD
LEZZI Barbara,M5S
LIUZZI Pietro,NcI
LO GIUDICE Sergio,PD
LO MORO Doris,Art.1-MDP-LeU
LONGO Eva,ALA-PRI
LONGO Fausto Guilherme,Aut(SVP-UV-PATT-UPT)-PSI
LUCHERINI Carlo,PD
LUCIDI Stefano,M5S
LUMIA Giuseppe,PD
MALAN Lucio,FI-PdL
MANASSERO Patrizia,PD
MANCONI Luigi,PD
MANCUSO Bruno,AP-CPE-NCD-NCI
MANDELLI Andrea,FI-PdL
MANGILI Giovanna,M5S
MARAN Alessandro,PD
MARCUCCI Andrea,PD
MARGIOTTA Salvatore,nessuno
MARIN Marco,FI-PdL
MARINELLO Giuseppe Francesco Maria,AP-CPE-NCD-NCI
MARINO Luigi,AP-CPE-NCD-NCI
MARINO Mauro Maria,PD
MARTELLI Carlo,M5S
MARTINI Claudio,PD
MARTON Bruno,M5S
MASTRANGELI Marino Germano,Misto
MATTESINI Donatella,PD
MATURANI Giuseppina,PD
MAURO Giovanni,GAL-UDCeDC
MAURO Mario,FI-PdL
MAZZONI Riccardo,ALA-PRI
MERLONI Maria Paola,Aut(SVP-UV-PATT-UPT)-PSI
MESSINA Alfredo,FI-PdL
MICHELONI Claudio,Misto
MIGLIAVACCA Maurizio,Art.1-MDP-LeU
MILO Antonio,ALA-PRI
MINEO Corradino,Misto
MINNITI Marco,PD
MIRABELLI Franco,PD
MOLINARI Francesco,Misto
MONTEVECCHI Michela,M5S
MONTI Mario,Misto
MORGONI Mario,PD
MORONESE Vilma,M5S
MORRA Nicola,M5S
MOSCARDELLI Claudio,PD
MUCCHETTI Massimo,PD
MUGNAI Franco,FI-PdL
MUNERATO Emanuela,NcI
MUSSINI Maria,Misto
NACCARATO Paolo,nessuno
NAPOLITANO Giorgio,Aut(SVP-UV-PATT-UPT)-PSI
NENCINI Riccardo,Aut(SVP-UV-PATT-UPT)-PSI
NUGNES Paola,M5S
OLIVERO Andrea,Aut(SVP-UV-PATT-UPT)-PSI
ORELLANA Luis Alberto,Aut(SVP-UV-PATT-UPT)-PSI
ORRU' Pamela,PD
PADUA Venera,PD
PAGANO Giuseppe,AP-CPE-NCD-NCI
PAGLIARI Giorgio,PD
PAGLINI Sara,M5S
PAGNONCELLI Lionello Marco,ALA-PRI
PALERMO Francesco,Aut(SVP-UV-PATT-UPT)-PSI
PALMA Nitto Francesco,FI-PdL
PANIZZA Franco,Aut(SVP-UV-PATT-UPT)-PSI
PARENTE Annamaria,PD
PEGORER Carlo,Art.1-MDP-LeU
PELINO Paola,FI-PdL
PEPE Bartolomeo,GAL-UDCeDC
PERRONE Luigi,NcI
PETRAGLIA Alessia,Misto
PETROCELLI Vito,M5S
PEZZOPANE Stefania,PD
PIANO Renzo,Aut(SVP-UV-PATT-UPT)-PSI
PICCINELLI Enrico,nessuno
PICCOLI Giovanni,nessuno
PIGNEDOLI Leana,PD
PINOTTI Roberta,PD
PIZZETTI Luciano,PD
PUGLIA Sergio,M5S
PUGLISI Francesca,PD
PUPPATO Laura,PD
QUAGLIARIELLO Gaetano,"FL(Id-PL, PLI)"
RANUCCI Raffaele,PD
RAZZI Antonio,FI-PdL
REPETTI Manuela,nessuno
RICCHIUTI Lucrezia,Art.1-MDP-LeU
RIZZOTTI Maria,FI-PdL
ROMANI Maurizio,Misto
ROMANI Paolo,FI-PdL
ROMANO Lucio,Aut(SVP-UV-PATT-UPT)-PSI
ROSSI Gianluca,PD
ROSSI Luciano,AP-CPE-NCD-NCI
ROSSI Mariarosaria,FI-PdL
ROSSI Maurizio Giuseppe,Misto
RUBBIA Carlo,Aut(SVP-UV-PATT-UPT)-PSI
RUSSO Francesco,PD
RUTA Roberto,PD
RUVOLO Giuseppe,nessuno
SACCONI Maurizio,AP-CPE-NCD-NCI
SAGGESE Angelica,PD
SANGALLI Gian Carlo,PD
SANTANGELO Vincenzo,M5S
SANTINI Giorgio,PD
SCALIA Francesco,PD
SCAVONE Antonio Fabio Maria,NcI
SCHIFANI Renato Giuseppe,nessuno
SCIASCIA Salvatore,FI-PdL
SCIBONA Marco,M5S
SCILIPOTI Domenico,FI-PdL
SCOMA Francesco,FI-PdL
SEGRE Liliana,Misto
SERAFINI Giancarlo,FI-PdL
SERRA Manuela,M5S
SIBILIA Cosimo,FI-PdL
SILVESTRO Annalisa,PD
SIMEONI Ivana,Misto
SOLLO Pasquale,PD
SONEGO Lodovico,Art.1-MDP-LeU
SPILABOTTE Maria,PD
SPOSETTI Ugo,PD
STEFANI Erika,Lega
STEFANO Dario,Misto
STUCCHI Giacomo,Lega
SUSTA Gianluca,PD
TARQUINIO Lucio Rosario,NcI
TAVERNA Paola,M5S
TOCCI Walter,PD
TOMASELLI Salvatore,PD
TONINI Giorgio,PD
TORRISI Salvo,AP-CPE-NCD-NCI
TOSATO Paolo,Lega
TREMONTI Giulio,GAL-UDCeDC
TRONTI Mario,PD
TURANO Renato Guerino,PD
URAS Luciano,Misto
VACCARI Stefano,PD
VACCIANO Giuseppe,Misto
VALDINOSI Mara,PD
VALENTINI Daniela,PD
VATTUONE Vito,PD
VERDINI Denis,ALA-PRI
VERDUCCI Francesco,PD
VICARI Simona,AP-CPE-NCD-NCI
VICECONTE Guido Walter Cesare,AP-CPE-NCD-NCI
VILLARI Riccardo,GAL-UDCeDC
VOLPI Raffaele,Lega
ZANDA Luigi,PD
ZANONI Magda Angela,PD
ZAVOLI Sergio,PD
ZELLER Karl,Aut(SVP-UV-PATT-UPT)-PSI
ZIN Claudio,Aut(SVP-UV-PATT-UPT)-PSI
ZIZZA Vittorio,NcI
ZUFFADA Sante,FI-PdL
BERLUSCONI Silvio,nessuno
MARINO Ignazio Roberto Maria,nessuno
GARAVAGLIA Massimo,nessuno
MANTOVANI Mario,nessuno
VERRO Antonio Giuseppe Maria,nessuno
BITONCI Massimo,nessuno
ZANETTIN Pierantonio,nessuno
DE MONTE Isabella,nessuno
GHEDINI Rita,nessuno
MATTEOLI Altero,nessuno
COMPAGNONE Giuseppe,nessuno
CUOMO Vincenzo,nessuno
MUSSOLINI Alessandra,nessuno
BRUNO Donato,nessuno
MINZOLINI Augusto,nessuno
